Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
3483, 1,0.00233824, -0.000792148, 0.000745714, 106.81, -39.2096, 0.00456488, 202.743, 17.4615, 0, 0.00176239, 0.00303752, 0.00319285, 138.087, 7.34777, 0, 0.00176267, 0.00163897, 0.00170143, 75.5335, 2.58679, 0, 0.00176281, 3.61034, 137.951, -163.605, 2.01212, 75.4555, -85.228, 0.000192097, 0.00303465, -0.00334598, 8.32941E-05, 8.32941E-05, 8.32941E-05
3484, 1,0.00170495, 0.000514131, 0.000483635, 88.9619, 26.0993, 0.00328352, 165.52, -13.8889, 0, 0.00176861, 0.00221904, 0.00203777, 115.059, -13.6837, 0, 0.0017686, 0.0011909, 0.00107061, 62.8661, -8.84469, 0, 0.00176847, 3.81865, 113.262, -76.0298, 2.15731, 61.8169, -37.4402, -0.000134749, 0.00218098, -0.00182418, -9.36894E-05, -9.36894E-05, -9.36894E-05
3485, 1,0.00104822, 0.000283741, 0.000221679, 78.0775, 21.2093, 0.001878, 138.9, -67.3619, 0, 0.00174004, 0.00132985, 0.00103755, 99.1871, -48.8161, 0, 0.00173952, 0.000768113, 0.000597078, 57.0394, -27.8602, 0, 0.00173892, 1.47255, 63.6227, 81.3532, 0.819539, 34.4479, 48.3131, -0.000737724, 0.000577271, 0.000952607, -0.000421485, -0.000421485, -0.000421485
3486, 1,0.00301282, 0.000856276, 0.000591581, 191.3, 54.5568, 0.00548924, 350.113, -121.831, 0, 0.00171195, 0.00386906, 0.00266808, 245.855, -84.636, 0, 0.00171092, 0.0021566, 0.00148502, 136.746, -46.7823, 0, 0.00170987, -6.0008, 14.9193, 244.989, -3.4077, 7.43734, 136.317, -0.00145999, -0.00101738, 0.00385078, -0.000808929, -0.000808929, -0.000808929
3487, 1,0.00156802, -0.000525259, 0.000497296, 72.7661, -25.7876, 0.00335498, 154.62, 5.29212, 0, 0.00182941, 0.00203689, 0.00211469, 93.9622, 3.09329, 0, 0.00182947, 0.00109958, 0.00112145, 51.589, 0.50492, 0, 0.00182955, 3.21367, 82.5606, -95.0541, 1.6266, 44.6857, -47.8271, 0.00011668, 0.0017952, -0.00196207, 4.23307E-05, 4.23307E-05, 4.23307E-05
3488, 1,0.0017112, 0.000485375, 0.0003302, 108.894, 30.459, 0.00339366, 204.025, -58.6221, 0, 0.00173823, 0.00219546, 0.00146994, 139.302, -47.7484, 0, 0.00173793, 0.00122784, 0.00081264, 78.5293, -27.5442, 0, 0.00173736, 4.06213, 58.0701, 81.113, 2.69558, 31.4203, 48.5166, -0.000666101, 0.00047578, 0.000965149, -0.000376802, -0.000376802, -0.000376802
3489, 1,0.00348255, 0.00101167, 0.000689912, 222.651, 63.7387, 0.00660176, 403.693, -123.172, 0, 0.00167953, 0.00449415, 0.00305767, 286.387, -99.3937, 0, 0.00167888, 0.00247099, 0.0016781, 158.918, -56.6019, 0, 0.00167772, -2.20261, 21.1337, 279.25, 0.504102, 14.2046, 155.097, -0.00161198, -0.00111877, 0.00434364, -0.000880735, -0.000880735, -0.000880735
3490, 1,0.001319, -0.000618935, 0.000483277, 50.3125, -34.3562, 0.00307333, 112.938, 43.4079, 0, 0.00198832, 0.00166549, 0.00217234, 61.5852, 23.0061, 0, 0.00198898, 0.000973412, 0.00120891, 39.0808, 9.29112, 0, 0.00198942, 14.7527, 49.2883, -133.059, 9.31824, 30.7924, -67.9839, 0.000674461, 0.00140448, -0.00245227, 0.000343458, 0.000343458, 0.000343458
3491, 1,0.00233945, 0.000637875, 0.000511547, 128.326, 35.906, 0.00586103, 317.227, -54.0467, 0, 0.00167424, 0.00297658, 0.00237285, 164.199, -31.5992, 0, 0.00167363, 0.00170288, 0.00135168, 92.4781, -16.1258, 0, 0.00167321, -9.03039, 35.6394, 68.1887, -8.79391, 17.3732, 39.7981, -0.00068867, 0.000253318, 0.000948122, -0.000439968, -0.000439968, -0.000439968
3492, 1,0.00452053, 0.00129527, 0.000873602, 278.868, 80.8837, 0.0157166, 455.27, -131.945, 0.161214, 0.00158994, 0.00581509, 0.0039904, 359.723, -113.961, 6.77626E-21, 0.00158914, 0.00322653, 0.00224577, 198.036, -61.1184, 6.77626E-21, 0.00158778, -11.9816, 6.86653, 346.998, -9.18428, 0.998862, 191.541, -0.00204676, -0.00165226, 0.0055483, -0.00115531, -0.00115531, -0.00115531
3493, 1,0.00769283, 0.00172214, 0.00118231, 329.166, 100.739, 0.042101, 507.441, -200.448, 0.655797, 0.0014516, 0.00941394, 0.00670688, 429.888, -124.86, 0.0457278, 0.00144717, 0.00597227, 0.00434656, 228.46, -64.4695, 0.0448153, 0.00144572, -25.3916, -14.4799, 414.453, -16.5796, -9.60843, 219.596, -0.0035962, -0.00330714, 0.00898254, -0.00241037, -0.00241037, -0.00241037
3494, 1,0.0171749, 0.00288079, 0.00200372, 354.987, 115.154, 0.0679411, 633.102, -232.314, 1, 0.00128733, 0.0200477, 0.0146009, 470.096, -164.075, 0.249757, 0.00128035, 0.0143051, 0.01068, 239.925, -86.796, 0.219171, 0.00127845, 15.8002, 19.3793, 457.047, 11.8774, 16.4006, 232.11, -0.00816152, -0.0080048, 0.01926, -0.00618107, -0.00618107, -0.00618107
3495, 1,0.0280849, 0.0045099, 0.00320303, 361.629, 119.438, 0.0746311, 794.201, -261.622, 1, 0.00113454, 0.0325513, 0.0243003, 480.927, -177.211, 0.487698, 0.00112814, 0.0236341, 0.0179797, 242.468, -89.2498, 0.4096, 0.00112581, 35.8452, 25.6386, 470.148, 18.635, 14.299, 234.815, -0.0131954, -0.0143602, 0.0315066, -0.0099553, -0.0099553, -0.0099553
3496, 1,0.00334832, 0.000813343, 0.000681375, 189.628, 44.051, 0.0145142, 435.586, -105.378, 0.138754, 0.00147285, 0.00416101, 0.0033566, 233.649, -49.6104, -2.71051E-20, 0.00147131, 0.00253603, 0.00199479, 145.626, -34.5418, -2.71051E-20, 0.00147095, -1.48004, 29.4944, 120.817, 0.79685, 25.0875, 77.7412, -0.000811544, -0.000169243, 0.00178583, -0.000526056, -0.000526056, -0.000526056
3497, 1,0.00533417, 0.00108467, 0.000848198, 279.181, 60.9891, 0.0294668, 485.41, -179.056, 0.433356, 0.00123189, 0.00641493, 0.0049077, 340.043, -77.7784, 0.00914922, 0.00122873, 0.00425539, 0.00322236, 218.389, -50.3224, 0.00892032, 0.00122818, -16.6869, 1.63332, 248.389, -12.3768, 2.22276, 161.121, -0.00173114, -0.00135937, 0.00435912, -0.00120674, -0.00120674, -0.00120674
3498, 1,0.0114032, 0.00138838, 0.000974374, 346.83, 80.2995, 0.0342228, 446.573, -112.183, 0.517132, 0.00107627, 0.0127794, 0.00943168, 427.034, -154.126, 0.123897, 0.00107641, 0.0100302, 0.00750853, 266.689, -101.311, 0.123897, 0.00107541, 32.9596, 32.8045, 396.615, 29.9982, 27.0597, 246.874, -0.00436729, -0.00445422, 0.0115083, -0.00346779, -0.00346779, -0.00346779
3499, 1,0.00120362, -0.000858609, 0.000589728, 4.12049, -55.7617, 0.00313044, 25.2301, 164.861, 0, 0.00157961, 0.00150191, 0.0027327, 3.04218, 91.2899, 0, 0.0015815, 0.000915743, 0.00158187, 5.68814, 50.4981, 0, 0.00158255, -10.8541, -12.5494, -250.466, -8.95214, -1.96675, -140.576, 0.00120816, 0.00117195, -0.00386151, 0.000605931, 0.000605931, 0.000605931
3500, 1,0.00136381, -0.00109702, 0.000756678, -20.8341, -74.2839, 0.00383363, -20.4608, 270.896, 0, 0.00106927, 0.00177609, 0.00356689, -23.7795, 144.697, 0, 0.00107146, 0.000963133, 0.00206501, -17.363, 84.4239, 0, 0.00107251, -29.0906, -49.6285, -355.371, -22.0957, -22.6236, -208.552, 0.001664, 0.00123015, -0.00524218, 0.000862703, 0.000862703, 0.000862703
3501, 1,0.0017881, -0.001252, 0.000867771, -19.9938, -85.5535, 0.00495941, -2.41601, 318.132, 0, 0.000925152, 0.00226181, 0.0041637, -23.9416, 175.528, 0, 0.000927296, 0.00132169, 0.00244449, -15.7238, 104.692, 0, 0.000928362, -44.7109, -66.7582, -415.114, -32.469, -36.7329, -244.873, 0.00182006, 0.00136577, -0.00603417, 0.000963446, 0.000963446, 0.000963446
3502, 1,0.00826335, -0.00376953, 0.00251833, -36.5183, -196.082, 0.0303918, -61.5986, 362.843, 0.852289, 0.000675391, 0.00949471, 0.0164291, -48.2288, 311.098, 0.208802, 0.000679126, 0.00704017, 0.0114395, -24.6387, 161.08, 0.19267, 0.00068102, -69.2242, -103.359, -760.711, -40.3461, -54.398, -388.497, 0.00858644, 0.00718585, -0.0214864, 0.00612058, 0.00612058, 0.00612058
3503, 1,0.00462927, -0.00269947, 0.0018273, 11.2072, -168.748, 0.0177861, -84.1222, 369.43, 0.494568, 0.000677749, 0.00558281, 0.00962747, 9.79191, 248.426, 0.0514977, 0.000680553, 0.00367635, 0.00597601, 12.6442, 126.287, 0.0510072, 0.000681944, 7.33243, -163.618, -588.993, 11.2394, -86.5884, -303.511, 0.00551726, 0.000939746, -0.0106076, 0.00363301, 0.00363301, 0.00363301
3504, 1,0.00224794, -0.00165194, 0.001165, 6.65932, -108.361, 0.00582475, 44.4611, 244.302, 0.0334017, 0.00100076, 0.00292304, 0.00502858, 8.27772, 174.478, 0, 0.00100197, 0.00157529, 0.00270477, 5.15542, 93.0988, 0, 0.00100329, 5.43112, -213.016, -315.848, 2.65972, -115.974, -165.982, 0.00286308, -0.00175357, -0.00394081, 0.00152272, 0.00152272, 0.00152272
3505, 1,0.00182924, -0.000971032, 0.00075244, 20.6355, -65.942, 0.00398905, 60.9133, 171.445, 0, 0.00121566, 0.00236287, 0.00328708, 25.805, 115.359, 0, 0.00121677, 0.00129579, 0.00178279, 15.4749, 61.4866, 0, 0.00121783, 24.9636, -226.794, -144.246, 14.8762, -121.55, -77.786, 0.0023452, -0.00298115, -0.00123601, 0.00128327, 0.00128327, 0.00128327
3506, 1,0.0012601, -0.000687978, 0.00052557, 9.76916, -47.5252, 0.0027883, 40.0694, 123.206, 0, 0.00201462, 0.00162324, 0.00231189, 11.9208, 87.0492, 0, 0.0020158, 0.000896983, 0.00126082, 7.61838, 46.7174, 0, 0.00201712, 11.6508, -72.0236, -200.775, 7.44128, -39.2927, -108.301, 0.00161751, -0.000152721, -0.00287736, 0.000893209, 0.000893209, 0.000893209
3507, 1,0.00158685, -0.000774604, 0.000622664, 55.0723, -42.9316, 0.00296027, 99.143, 54.7609, 0, 0.00188001, 0.00205755, 0.00270386, 70.9949, 35.2608, 0, 0.0018806, 0.00111617, 0.00145862, 39.1507, 18.2713, 0, 0.00188112, 7.7146, 70.5427, -184.04, 4.69803, 38.8666, -98.3785, 0.00071855, 0.00204795, -0.00333868, 0.000387138, 0.000387138, 0.000387138
3508, 1,0.00207176, -0.000774287, 0.000696741, 88.0474, -39.7902, 0.0038913, 162.733, 28.4446, 0, 0.00182343, 0.00269096, 0.00301017, 114.114, 17.5489, 0, 0.00182376, 0.00145257, 0.0016167, 61.9804, 8.95967, 0, 0.00182401, 3.63098, 114.052, -170.33, 1.9563, 61.9479, -90.7832, 0.000353183, 0.00268964, -0.00332759, 0.000182467, 0.000182467, 0.000182467
3509, 1,0.00149255, 0.000448524, 0.000446975, 73.1977, 21.7225, 0.00270522, 127.27, 0.780905, 0, 0.00182971, 0.00194107, 0.00191788, 94.92, -4.27639, 0, 0.00182986, 0.00104404, 0.00102395, 51.4755, -2.86618, 0, 0.00182982, 4.30184, 93.939, -85.4117, 2.44407, 50.9383, -44.7839, 2.36402E-05, 0.00192028, -0.00187452, 6.54213E-06, 6.54213E-06, 6.54213E-06
3510, 1,0.000826418, 0.000239448, 0.000187794, 62.7169, 18.1491, 0.00123767, 94.4167, -48.2593, 0, 0.00180002, 0.00106549, 0.00083166, 80.8482, -40.9639, 0, 0.0017998, 0.000587654, 0.000456611, 44.5999, -22.6056, 0, 0.00179927, 2.2493, 52.8433, 67.7991, 1.44799, 28.3735, 37.9952, -0.000597594, 0.000472861, 0.000789467, -0.000325404, -0.000325404, -0.000325404
3511, 1,0.00283795, 0.000842218, 0.000585312, 179.102, 53.1918, 0.00485088, 302.735, -98.711, 0, 0.00177088, 0.00368015, 0.00255294, 232.293, -78.4088, 0, 0.0017703, 0.00199578, 0.00138238, 125.912, -42.4374, 0, 0.00176926, -9.00216, 12.4643, 231.764, -4.75135, 6.4025, 125.661, -0.00142539, -0.000971247, 0.003669, -0.000768895, -0.000768895, -0.000768895
3512, 1,0.00120647, -0.000485937, 0.000427824, 49.9036, -25.1791, 0.00226068, 91.1664, 21.0579, 0, 0.00189235, 0.00157613, 0.00181877, 65.1611, 12.5324, 0, 0.00189262, 0.000836853, 0.000963272, 34.6481, 6.58578, 0, 0.0018928, 4.17225, 59.0752, -100.845, 2.10309, 31.2289, -53.0893, 0.000285638, 0.00144704, -0.00193605, 0.000148197, 0.000148197, 0.000148197
3513, 1,0.00128855, 0.000381975, 0.000253329, 82.6253, 24.3909, 0.00214381, 120.191, -25.3566, 0, 0.00179778, 0.00167019, 0.00111133, 107.001, -37.7019, 0, 0.00179814, 0.000907198, 0.000610393, 58.2631, -20.6716, 0, 0.00179765, 2.14856, 43.8564, 67.1008, 0.6918, 23.4628, 37.8603, -0.000548312, 0.000333473, 0.00082664, -0.000310908, -0.000310908, -0.000310908
3514, 1,0.00329028, 0.000982983, 0.000674703, 205.797, 61.5721, 0.0060905, 356.307, -91.9708, 0, 0.00173709, 0.0042731, 0.00296429, 267.362, -87.8652, 0, 0.00173698, 0.0023076, 0.00161567, 144.239, -47.2524, 0, 0.00173583, -12.1634, 12.7314, 263.027, -7.86145, 7.71312, 141.906, -0.00164111, -0.0011149, 0.00418183, -0.000910431, -0.000910431, -0.000910431
3515, 1,0.00079121, -0.000548443, 0.000388034, 18.7589, -32.4764, 0.00142257, 21.9107, 60.8899, 0, 0.00205469, 0.00101847, 0.00168358, 22.9434, 33.8458, 0, 0.0020556, 0.000564214, 0.000908146, 14.5869, 16.2298, 0, 0.00205618, 19.6265, 13.1975, -134.361, 12.3049, 9.12426, -70.1185, 0.000948316, 0.000812012, -0.00230955, 0.000515944, 0.000515944, 0.000515944
3516, 1,0.00156975, 0.00045437, 0.000362299, 84.6382, 25.5306, 0.00458938, 239.268, -30.0646, 0, 0.00173109, 0.00202353, 0.00161252, 110.143, -19.4829, 0, 0.00173079, 0.00111645, 0.000892068, 59.1549, -8.58423, 0, 0.00173049, -9.5794, 13.2057, 54.8225, -8.7417, 4.25519, 30.2392, -0.000509447, -2.96884E-05, 0.00085529, -0.000320069, -0.000320069, -0.000320069
3517, 1,0.00437135, 0.00125584, 0.000862413, 264.103, 77.5375, 0.0160372, 441.655, -109.853, 0.166419, 0.00164455, 0.005626, 0.00394849, 341.591, -101.59, -4.23516E-22, 0.00164403, 0.00311768, 0.00222555, 186.657, -52.7329, -4.23516E-22, 0.00164273, -29.1918, -1.55718, 335.52, -21.774, -3.97558, 183.948, -0.00221704, -0.00163438, 0.00549997, -0.00129058, -0.00129058, -0.00129058
3518, 1,0.00707794, 0.0017106, 0.00119995, 325.074, 98.4941, 0.0453974, 541.324, -258.273, 0.724013, 0.00150531, 0.00878589, 0.00619917, 423.516, -117.294, 0.0334275, 0.00149767, 0.00537162, 0.00380365, 226.677, -62.2287, 0.0322545, 0.0014963, -39.3812, -26.5494, 417.811, -20.1989, -16.6411, 223.526, -0.00351562, -0.00318691, 0.00864207, -0.00217459, -0.00217459, -0.00217459
3519, 1,0.0173006, 0.00301432, 0.00210003, 360.923, 115.85, 0.0710632, 736.995, -276.66, 1, 0.00133233, 0.0203137, 0.0153878, 476.767, -177.783, 0.257685, 0.00132331, 0.014288, 0.0111977, 245.088, -98.1953, 0.222222, 0.00132126, 56.4192, 2.72396, 474.206, 42.4713, 8.4947, 243.62, -0.00665034, -0.0101359, 0.0201557, -0.00456717, -0.00456717, -0.00456717
3520, 1,0.0309438, 0.0050077, 0.00365291, 373.956, 122.264, 0.078356, 910.161, -309.991, 1, 0.00117296, 0.0359213, 0.0278645, 496.134, -204.38, 0.556094, 0.00116527, 0.0259771, 0.0206254, 251.864, -106.5, 0.462434, 0.00116239, 91.2733, 29.0789, 492.787, 51.7692, 18.5502, 249.179, -0.0116804, -0.0190795, 0.0355688, -0.00869208, -0.00869208, -0.00869208
3521, 1,0.00248286, 0.000597491, 0.000490836, 135.481, 31.6209, 0.0132367, 450.004, -127.233, 0.113618, 0.00152508, 0.00307905, 0.00235657, 167.049, -28.8559, 0, 0.00152244, 0.00188751, 0.00138844, 103.949, -19.7739, 0, 0.00152221, -25.1277, -10.6662, 122.362, -18.6978, -1.28446, 79.3038, -0.000985879, -0.000688355, 0.00214249, -0.00070679, -0.00070679, -0.00070679
3522, 1,0.00458349, 0.000983292, 0.000730406, 254.285, 55.9847, 0.0293786, 508.557, -218.647, 0.436194, 0.00127595, 0.00556154, 0.00401212, 310.077, -64.0011, 7.59476E-05, 0.0012713, 0.00360839, 0.00257352, 198.602, -38.3157, 1.81372E-05, 0.00127077, -49.6755, -45.8651, 287.544, -40.4208, -31.7632, 187.131, -0.00206, -0.00200893, 0.00510754, -0.00145837, -0.00145837, -0.00145837
3523, 1,0.0124106, 0.00156502, 0.00105907, 353.956, 91.0974, 0.0347064, 430.055, -103.283, 0.534226, 0.00111251, 0.0139648, 0.010329, 445.006, -183.996, 0.149412, 0.00111347, 0.010859, 0.00827927, 262.944, -119.058, 0.149412, 0.00111219, 77.0006, 32.773, 442.216, 64.1259, 31.3472, 261.702, -0.0041803, -0.00640649, 0.0138441, -0.00315938, -0.00315938, -0.00315938
3524, 1,0.00129261, -0.000787047, 0.000574988, 5.16496, -53.9342, 0.00249066, -11.2752, 173.292, 0, 0.00162973, 0.00165492, 0.0025993, 5.55163, 97.6217, 0, 0.00163173, 0.000930798, 0.00145208, 4.80229, 52.6523, 0, 0.00163292, 5.12828, -61.6085, -236.385, 4.38491, -32.8792, -129.463, 0.00164598, 0.000235119, -0.00346523, 0.000921976, 0.000921976, 0.000921976
3525, 1,0.00158469, -0.00105604, 0.000745908, -21.3156, -75.4834, 0.00398572, -15.5321, 273.938, 0, 0.00111427, 0.00202009, 0.00354877, -26.3068, 163.598, 0, 0.00111627, 0.00114953, 0.00206548, -16.3131, 94.8961, 0, 0.00111751, -27.4582, -114.148, -349.187, -17.0368, -66.7696, -200.882, 0.00199567, 0.000168517, -0.00481894, 0.00113413, 0.00113413, 0.00113413
3526, 1,0.00169903, -0.001226, 0.000827043, -17.1398, -85.2596, 0.00537314, -7.37804, 316.682, 0.0172867, 0.000961665, 0.00212037, 0.00397858, -24.5085, 167.373, 0, 0.000964046, 0.0012823, 0.00233843, -9.55936, 94.0313, 0, 0.000965194, -37.4759, -89.6869, -374.956, -20.6147, -49.9605, -211.519, 0.00184347, 0.000764363, -0.00532384, 0.00104512, 0.00104512, 0.00104512
3527, 1,0.00974695, -0.00388627, 0.00254768, -40.8821, -211.557, 0.0352576, -79.9784, 455.37, 0.831766, 0.00070493, 0.0109435, 0.0173315, -55.8906, 373.22, 0.200973, 0.000709861, 0.0085556, 0.0122665, -25.7421, 200.873, 0.187927, 0.000712121, -174.42, -128.446, -816.794, -110.537, -69.6485, -422.434, 0.00599958, 0.00802834, -0.0208495, 0.0038208, 0.0038208, 0.0038208
3528, 1,0.00462521, -0.00290706, 0.00193046, -39.2582, -183.709, 0.0219983, -107.992, 470.561, 0.509248, 0.000705026, 0.00544413, 0.0103286, -52.868, 310.902, 0.0623672, 0.000708873, 0.00382776, 0.00664073, -24.9178, 170.246, 0.0618885, 0.000710551, -78.3422, -238.801, -615.564, -55.1491, -134.668, -320.92, 0.00473337, 0.000312329, -0.0102727, 0.00283337, 0.00283337, 0.00283337
3529, 1,0.00278735, -0.00183288, 0.001289, 21.8013, -120.489, 0.00732226, 6.91363, 291.309, 0.0841527, 0.00103088, 0.00353189, 0.00587637, 23.1246, 193.194, 0, 0.00103276, 0.00204323, 0.00330297, 20.4977, 102.206, 0, 0.00103429, 22.9588, -283.993, -318.548, 20.2737, -159.814, -167.076, 0.00352838, -0.0029592, -0.00370421, 0.00203849, 0.00203849, 0.00203849
3530, 1,0.0021759, -0.00112259, 0.000869064, 32.4318, -74.199, 0.00510347, 124.381, 156.935, 0, 0.00124701, 0.00279141, 0.0038747, 40.3769, 122.99, 0, 0.00124769, 0.00156042, 0.00213673, 24.4878, 66.178, 0, 0.00124885, 40.3672, -273.163, -136.174, 24.4784, -149.363, -73.6491, 0.0027912, -0.00384202, -0.000944973, 0.00156022, 0.00156022, 0.00156022
3531, 1,0.00128267, -0.000718917, 0.000540826, 8.17605, -49.453, 0.00275821, 37.5799, 124.64, 0, 0.00208066, 0.0016454, 0.00241448, 9.84284, 91.2487, 0, 0.00208179, 0.000919933, 0.00133294, 6.50931, 49.6658, 0, 0.00208319, 8.63376, -72.8062, -209.574, 5.83162, -40.4422, -114.387, 0.00161985, -0.00010312, -0.00299745, 0.000905632, 0.000905632, 0.000905632
3532, 1,0.00161935, -0.000813507, 0.000646004, 51.7263, -45.8367, 0.00298953, 95.5438, 61.454, 0, 0.00194294, 0.00209783, 0.00283793, 66.9503, 43.2519, 0, 0.00194351, 0.00114088, 0.00154597, 36.503, 23.3971, 0, 0.00194414, 4.27331, 66.737, -200.766, 2.73367, 36.3749, -109.3, 0.000771594, 0.00209329, -0.00356674, 0.000426305, 0.000426305, 0.000426305
3533, 1,0.00212496, -0.000826705, 0.000728498, 84.5853, -43.6111, 0.00394417, 158.802, 37.0834, 0, 0.0018846, 0.00275524, 0.00318854, 109.833, 27.3826, 0, 0.00188489, 0.00149469, 0.00173159, 59.3386, 15.1836, 0, 0.00188527, -0.463231, 109.796, -191.481, -0.581581, 59.3184, -104.288, 0.000421428, 0.00275447, -0.00362024, 0.000226789, 0.000226789, 0.000226789
3534, 1,0.00155057, -0.000489913, 0.000475462, 71.309, -23.6337, 0.00276225, 125.374, 6.9488, 0, 0.00189096, 0.00201153, 0.00208306, 92.6142, 3.29565, 0, 0.00189107, 0.00108966, 0.00113222, 50.006, 2.00597, 0, 0.00189111, 1.77504, 91.84, -103.502, 0.997834, 49.5786, -56.5943, 8.94289E-05, 0.00199512, -0.00213803, 5.26715E-05, 5.26715E-05, 5.26715E-05
3535, 1,0.00074836, 0.000229058, 0.000181146, 56.2949, 17.2205, 0.00121402, 91.941, -46.4325, 0, 0.0018602, 0.000977343, 0.000769967, 73.5117, -36.702, 0, 0.00185991, 0.000519445, 0.00040789, 39.0812, -19.5194, 0, 0.00185939, 0.832095, 52.3063, 56.9677, 0.614475, 27.9212, 30.0225, -0.000560459, 0.00052862, 0.000627414, -0.000294436, -0.000294436, -0.000294436
3536, 1,0.00281828, 0.000856459, 0.000595004, 178.248, 54.1084, 0.00496368, 311.494, -103.316, 0, 0.00183004, 0.00367474, 0.00255183, 232.356, -78.836, 0, 0.00182931, 0.00196184, 0.00136193, 124.14, -42.2104, 0, 0.00182823, -8.82403, 13.5099, 231.822, -4.56089, 7.32355, 123.868, -0.00142834, -0.000955857, 0.00366349, -0.000761278, -0.000761278, -0.000761278
3537, 1,0.00125236, -0.000522015, 0.000450898, 48.0472, -27.7046, 0.00231555, 90.7716, 25.0721, 0, 0.00195574, 0.00163208, 0.00195846, 62.959, 19.0449, 0, 0.00195593, 0.000872714, 0.00105677, 33.1383, 10.8939, 0, 0.00195619, 1.96307, 58.5725, -117.67, 0.891375, 30.7975, -64.3705, 0.000341454, 0.00153899, -0.00218949, 0.000190401, 0.000190401, 0.000190401
3538, 1,0.00122712, 0.00037213, 0.000248459, 77.6342, 23.5963, 0.00207147, 114.275, -22.0055, 0, 0.00185786, 0.00159923, 0.00106853, 101.229, -34.4514, 0, 0.00185823, 0.000855034, 0.000576239, 54.0403, -18.3059, 0, 0.00185774, 1.09776, 45.7447, 56.5117, 0.0786545, 24.7805, 30.0586, -0.000519383, 0.000424615, 0.000653821, -0.000286655, -0.000286655, -0.000286655
3539, 1,0.0033066, 0.000997623, 0.000684037, 205.159, 62.5779, 0.00618704, 356.973, -86.7466, 0, 0.0017948, 0.00430412, 0.00298608, 267.732, -86.3971, 0, 0.00179479, 0.00230918, 0.00161847, 142.59, -44.9409, 0, 0.00179358, -14.4179, 9.81331, 263.796, -10.2671, 4.52524, 140.565, -0.00166574, -0.00115352, 0.00422126, -0.000924979, -0.000924979, -0.000924979
3540, 1,0.000785744, -0.000585868, 0.000403485, 15.4503, -34.6964, 0.00147069, 20.7158, 65.5401, 0, 0.00212215, 0.00100671, 0.00179494, 18.8855, 38.552, 0, 0.00212308, 0.000564856, 0.000988177, 12.0187, 19.7236, 0, 0.00212373, 17.7685, 16.2014, -149.626, 11.2437, 10.4002, -80.8146, 0.00098314, 0.000949748, -0.00255848, 0.000548536, 0.000548536, 0.000548536
3541, 1,0.00150832, 0.000445299, 0.000357997, 79.3211, 24.7849, 0.00475363, 244.871, -27.1755, 0, 0.00178837, 0.00195318, 0.00157133, 104.086, -15.8146, 0, 0.00178804, 0.00106383, 0.000856845, 54.572, -5.76783, 0, 0.00178775, -12.1007, 14.6176, 44.927, -10.7891, 4.75194, 23.3407, -0.00050512, 5.78803E-05, 0.000703869, -0.00031913, -0.00031913, -0.00031913
